177.84.181.6 administrative 2 "2014-03-23 06:30:26" http://revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36"
177.103.37.232 - - "2014-03-23 07:32:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36"
177.103.37.232 - - "2014-03-23 07:33:23" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36"
173.230.129.121 - - "2014-03-23 07:33:40" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "CC Metadata Scaper http://wiki.creativecommons.org/Metadata_Scraper"
173.230.129.121 - - "2014-03-23 07:33:40" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "CC Metadata Scaper http://wiki.creativecommons.org/Metadata_Scraper"
177.103.37.232 - - "2014-03-23 07:33:51" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36"
177.103.37.232 - - "2014-03-23 07:33:54" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36"
66.249.65.126 bot - "2014-03-23 14:50:52" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
189.70.32.160 - - "2014-03-23 14:53:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36"
66.249.65.126 bot - "2014-03-23 23:28:52" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
177.179.38.166 - - "2014-03-23 23:45:13" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/index 200 "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53"
