207.46.13.132 bot - "2015-06-25 05:06:51" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
91.194.84.106 bot - "2015-06-25 05:43:19" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:43:30" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:45:21" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:45:40" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:46:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/7 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:46:38" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/9 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:46:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:47:03" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:47:05" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:47:09" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20n%C2%BA%201 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.194.84.106 bot - "2015-06-25 05:58:44" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
188.40.112.210 - - "2015-06-25 08:34:50" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/5 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19"
