186.212.86.249 - - "2015-10-02 00:52:43" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Linux; U; Android 4.0.4; pt-br; GT-S7562L Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
66.249.65.231 bot - "2015-10-02 01:08:06" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/14/8 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
191.54.3.26 - - "2015-10-02 01:36:40" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/3/4 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
66.249.65.195 bot - "2015-10-02 02:59:56" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 02:59:57" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/50 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 03:00:02" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 03:00:26" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.137 bot - "2015-10-02 03:09:29" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 03:09:38" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 03:14:48" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.137 bot - "2015-10-02 03:15:31" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 03:20:29" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 03:43:36" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 03:46:39" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 03:46:41" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 04:00:27" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 04:05:19" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.137 bot - "2015-10-02 04:13:52" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 04:20:59" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 04:23:57" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
