66.249.65.53 bot - "2016-01-10 00:33:00" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/1 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.165.15.238 bot - "2016-01-10 00:57:50" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/50 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
40.77.167.66 bot - "2016-01-10 02:53:03" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/17 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.66 bot - "2016-01-10 05:54:10" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/38/20 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
188.165.15.238 bot - "2016-01-10 05:54:49" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/35 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.65.108 bot - "2016-01-10 06:00:14" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
188.165.15.238 bot - "2016-01-10 12:03:35" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/11 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
177.74.20.6 - - "2016-01-10 12:56:39" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
157.55.39.132 bot - "2016-01-10 14:44:54" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/17 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
188.165.15.238 bot - "2016-01-10 16:00:30" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/149 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.65.56 bot - "2016-01-10 17:23:14" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/15/34 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
