200.235.225.109 - - "2016-12-05 00:48:27" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/50/28 200 "Opera/9.80 (Windows NT 6.1; WOW64; U; pt-BR) Presto/2.10.289 Version/12.01"
179.235.143.173 - - "2016-12-05 01:16:33" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
91.200.12.141 - - "2016-12-05 02:06:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
91.200.12.141 administrative 289 "2016-12-05 02:06:50" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
91.200.12.141 - - "2016-12-05 02:22:57" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
91.200.12.141 administrative 290 "2016-12-05 02:23:01" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
66.249.65.91 bot - "2016-12-05 03:14:00" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
163.172.68.136 bot - "2016-12-05 05:30:55" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/)"
163.172.68.136 bot - "2016-12-05 05:30:58" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/16 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/)"
163.172.68.136 bot - "2016-12-05 05:31:01" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/17 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/)"
163.172.68.136 bot - "2016-12-05 05:31:06" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/31 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/)"
